epoch,acc,loss,val_acc,val_loss
0,0.5262237,1.7022732814657027,0.8070922,0.5746208127846955
1,0.7702337,0.7268332694698154,0.845922,0.4405562076754604
2,0.8134375,0.5709813611921891,0.8581915,0.3998785353383274
3,0.832894,0.5015985959426515,0.865922,0.3713636185302802
4,0.8454946,0.4603087580249524,0.8714184,0.3548366701941118
5,0.85406446,0.427512195846891,0.8731915,0.34958564703346146
6,0.8604948,0.40474930823347394,0.8777305,0.33624208191607863
7,0.86485654,0.3865235988150438,0.87865245,0.3357362685685462
8,0.87021124,0.3694626849757792,0.8764184,0.3334295364220937
9,0.87471485,0.3539394112174061,0.8798936,0.3257690748847123
10,0.8786865,0.34122311855987475,0.88429075,0.3173267280674995
11,0.88240993,0.32927462275778524,0.8822695,0.32757956219480394
12,0.8835211,0.31935072210208776,0.88187945,0.3285912771892886
13,0.885105,0.31046794221878027,0.8845745,0.3262819335393026
14,0.88853294,0.3022972064213609,0.88159573,0.32961691207074106
15,0.8899396,0.292881099068429,0.8862766,0.3237950372442286
16,0.8924337,0.2871263949819969,0.88468087,0.3282172256412236
17,0.8937222,0.27680046254731033,0.8865248,0.3247682504704658
18,0.89700824,0.2703731318927363,0.8881206,0.3241870888919695
19,0.90012884,0.2637710248914658,0.8882624,0.32379331001998685
20,0.89893496,0.26052319145907615,0.8845745,0.34301004897618126
21,0.90194917,0.25453127467176023,0.8860993,0.3292143696757919
22,0.90323764,0.24652877030250703,0.88514185,0.3453215668049264
23,0.9046915,0.2442504949700834,0.8839007,0.34522177475564025
24,0.9065119,0.23923950588580986,0.8844326,0.35783176701119607
