epoch,acc,loss,val_acc,val_loss
0,0.5075237,1.7610187359035947,0.8028369,0.6076280749435966
1,0.7601272,0.7609065444978507,0.8406028,0.466431932753705
2,0.8062507,0.5989119523137941,0.85312057,0.4158796851516615
3,0.8257308,0.5262160643481294,0.857766,0.3937837474439161
4,0.83795315,0.48450362897020427,0.8652482,0.3768930140961992
5,0.84763414,0.45630150780571943,0.8698936,0.3643544621247772
6,0.8535562,0.4318628433985815,0.8713121,0.351602139980235
7,0.85718507,0.4149965791310876,0.8746454,0.3439775864452335
8,0.86344993,0.39480222375763874,0.8760638,0.3408565060551285
9,0.8659322,0.38296206078962913,0.8775886,0.3385232885678609
10,0.8669133,0.37189745008617847,0.87666667,0.3348012073242918
11,0.8718543,0.36444110731965595,0.8803192,0.3251450961532322
12,0.8749749,0.3494515434534739,0.88177305,0.3263964763896685
13,0.8774808,0.34119955639020255,0.88304967,0.3243408387603489
14,0.8787574,0.334845992422408,0.88014185,0.3275267212610718
15,0.8805187,0.32669779297726337,0.88202125,0.32458338400573594
16,0.8819135,0.32047231469259024,0.880461,0.3287062278706977
17,0.885306,0.3132322918213767,0.8843262,0.3241303647494485
18,0.88570786,0.3084477302112862,0.88319147,0.33390575466426553
19,0.88742185,0.30123424370694196,0.8848936,0.324708463731387
20,0.89003414,0.2946724196268617,0.88414896,0.3258569035462454
21,0.8889585,0.29273408094084186,0.8821631,0.3362715996326284
22,0.8914408,0.2891282842885498,0.88492906,0.32782251403686846
23,0.89355665,0.2809150860644095,0.88393617,0.3276166852737995
24,0.8962045,0.27338118477030937,0.88361704,0.34011042140054365
