epoch,acc,loss,val_acc,val_loss
0,0.60286766,1.4333334215809084,0.07925532,5.249889091735191
1,0.81125075,0.5842997901559357,0.13326241,5.969296665326923
2,0.84278774,0.47228991222358485,0.30769503,3.118086798444707
3,0.85711414,0.42129490308240847,0.86539006,0.3796273705807138
4,0.86525846,0.385774768729809,0.87812054,0.33857056776682537
5,0.871216,0.36165652008982085,0.8787234,0.32711859943173455
6,0.8782373,0.3391394372003242,0.8833688,0.31646205408353334
7,0.8824218,0.3235265185402382,0.8833688,0.3260190771065705
8,0.88863933,0.30674378672549807,0.88460994,0.3151857873987644
9,0.88933676,0.3002940228679608,0.88624114,0.3128886130600111
10,0.8942186,0.2847371160317178,0.8868085,0.31198681458936517
11,0.89720917,0.2765402315142707,0.8817021,0.3277441025963912
12,0.8975047,0.2700912960955256,0.88624114,0.3225546363989512
13,0.9009208,0.25888808355214293,0.88468087,0.3233707795075491
14,0.904136,0.2486804974208911,0.88539004,0.3234638588225588
15,0.90655917,0.24357875250991062,0.8854255,0.32752026126739825
16,0.9078122,0.2370495195112552,0.88393617,0.3341761192869633
17,0.9086869,0.2300929500711256,0.8857092,0.3381781209867897
18,0.9130368,0.2213292540723992,0.88765955,0.33318528450972645
19,0.91249305,0.21954970339144694,0.8852128,0.34519353712704165
20,0.9158855,0.2112608628602939,0.885,0.347587474305579
21,0.9171976,0.20929399224144582,0.8857092,0.34999536001090464
22,0.9193371,0.20085608396663707,0.8824468,0.3646771374661872
23,0.92056644,0.19539850148387092,0.885461,0.3549284381350727
24,0.92217404,0.19243596897537943,0.8865957,0.366017530463266
